user_input,intent,bot_response,escalation_needed,emotion_tag,follow_up_question,resource_link
I don't have anyone to talk to,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i made a new friend,positive,That’s great! New friendships can bring joy.,No,positive,,
i feel empty,sadness,I'm sorry you're feeling this way. You're not alone.,No,negative,Would you like some self-care suggestions?,
i feel anxious in class please,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
I feel like giving up,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i made a new friend please,positive,That’s great! New friendships can bring joy.,No,positive,,
I'm scared I might fail my test,exam_anxiety,It's normal to feel anxious before exams. Have you tried breaking your study sessions into smaller chunks?,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I feel left out in my class,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i cut myself please,emergency,I'm really concerned about you. Please call 988 or reach out to a professional immediately.,Yes,crisis,,https://findahelpline.com
I can't get out of bed to attend lectures,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i get nervous before exams please,anxiety,That’s natural. Would you like some exam relaxation strategies?,No,anxiety,,
I can't get out of bed to attend lectures,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i procrastinate please,academic stress,Many students do. Breaking work into smaller steps can help.,No,negative,Do you want a quick productivity trick?,
I have no motivation to study,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
